Event_Date,Event
2021-05-14, Federal Reserve Announces Third Extension of Paycheck Protection Program Rule
2021-05-28, Congressional Oversight Commission Releases Thirteenth Report
2021-06-02, Federal Reserve Announces Plans To Wind Down SMCCF Emergency Lending Portfolio
2021-06-16, Federal Reserve Announces Extension of Temporary Dollar Liquidity Swap Lines
2021-06-22, Chair Powell Gives Testimony to Congress
2021-06-23," 600,000 COVID-19 Deaths in the United States"
2021-06-25, Federal Reserve Announces Final Extension of Paycheck Protection Program Liquidity Facility
2021-06-30, Congressional Oversight Commission Releases Fourteenth Report
2021-07-27, CDC Updates Guidelines for Fully Vaccinated People
2021-07-30, Congressional Oversight Commission Releases Fifteenth Report
2021-08-18, CDC Announces Plans for COVID-19 Vaccine Booster Shots
2021-08-20, Two Hundred Million People Have Received at Least One Vaccine Dose
2021-08-23, FDA Approves First COVID-19 Vaccine
2021-08-31, Congressional Oversight Commission Releases Sixteenth Report
2021-09-22, FDA Authorizes Booster Dose of COVID-19 Vaccine
2021-09-28, Chair Powell Gives Testimony to Congress
2021-09-30, Congressional Oversight Commission Releases Seventeenth Report
2021-10-04," 700,000 COVID-19 Deaths in the United States"
2021-10-29, FDA Authorizes COVID-19 Vaccine for Children 5 to 11 Years of Age
2021-10-29, Congressional Oversight Commission Releases Eighteenth Report
2021-11-26," WHO Declares Variant of Concern, Dow Jones Industrial Average Decreases"
2021-12-17," 800,000 COVID-19 Deaths in the United States"
2021-12-27, CDC Updates and Shortens Recommended Isolation and Quarantine Period
2022-01-10, Daily COVID-19 Cases in U.S. Surpass 1 Million
